Species	Life stage	Individual	Unclassified;Other;Other	k__Archaea;p__Crenarchaeota;c__MCG	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	k__Archaea;p__Euryarchaeota;Other	k__Archaea;p__Euryarchaeota;c__Methanobacteria	k__Archaea;p__Euryarchaeota;c__Methanomicrobia	k__Archaea;p__Euryarchaeota;c__Thermoplasmata	k__Archaea;p__Euryarchaeota;c__[Parvarchaea]	k__Bacteria;Other;Other	k__Bacteria;p__Acidobacteria;c__	k__Bacteria;p__Acidobacteria;c__Acidobacteria	k__Bacteria;p__Acidobacteria;c__Acidobacteria-2	k__Bacteria;p__Acidobacteria;c__Acidobacteria-5	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria	k__Bacteria;p__Acidobacteria;c__Holophagae	k__Bacteria;p__Acidobacteria;c__Solibacteres	k__Bacteria;p__Acidobacteria;c__iii1-8	k__Bacteria;p__Actinobacteria;Other	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Actinobacteria;c__MB-A2-108	k__Bacteria;p__Actinobacteria;c__Rubrobacteria	k__Bacteria;p__Actinobacteria;c__Thermoleophilia	k__Bacteria;p__Armatimonadetes;c__Armatimonadia	k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadetes]	k__Bacteria;p__Bacteroidetes;Other	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	k__Bacteria;p__Chlamydiae;c__Chlamydiia	k__Bacteria;p__Chlorobi;Other	k__Bacteria;p__Chlorobi;c__Ignavibacteria	k__Bacteria;p__Chloroflexi;Other	k__Bacteria;p__Chloroflexi;c__	k__Bacteria;p__Chloroflexi;c__Anaerolineae	k__Bacteria;p__Chloroflexi;c__Bljii12	k__Bacteria;p__Chloroflexi;c__Chloroflexi	k__Bacteria;p__Chloroflexi;c__Ellin6529	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria	k__Bacteria;p__Chloroflexi;c__TK17	k__Bacteria;p__Chloroflexi;c__Thermobacula	k__Bacteria;p__Chloroflexi;c__Thermomicrobia	k__Bacteria;p__Cyanobacteria;Other	k__Bacteria;p__Cyanobacteria;c__4C0d-2	k__Bacteria;p__Cyanobacteria;c__Chloroplast	k__Bacteria;p__Cyanobacteria;c__S15B-MN24	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	k__Bacteria;p__Deferribacteres;c__Deferribacteres	k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	k__Bacteria;p__Firmicutes;Other	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Firmicutes;c__RF3	k__Bacteria;p__Fusobacteria;c__Fusobacteria	k__Bacteria;p__GN02;c__BD1-5	k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	k__Bacteria;p__Gemmatimonadetes;c__Gemm-3	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	k__Bacteria;p__Nitrospirae;c__Nitrospira	k__Bacteria;p__OD1;Other	k__Bacteria;p__OD1;c__Mb-NB09	k__Bacteria;p__OD1;c__ZB2	k__Bacteria;p__OP11;c__OP11-3	k__Bacteria;p__OP11;c__WCHB1-64	k__Bacteria;p__Planctomycetes;c__C6	k__Bacteria;p__Planctomycetes;c__Phycisphaerae	k__Bacteria;p__Planctomycetes;c__Planctomycetia	k__Bacteria;p__Planctomycetes;c__vadinHA49	k__Bacteria;p__Proteobacteria;Other	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__SR1;c__	k__Bacteria;p__Spirochaetes;Other	k__Bacteria;p__Spirochaetes;c__Spirochaetes	k__Bacteria;p__Synergistetes;c__Synergistia	k__Bacteria;p__TM6;c__SBRH58	k__Bacteria;p__TM7;c__SC3	k__Bacteria;p__TM7;c__TM7-3	k__Bacteria;p__Tenericutes;c__Mollicutes	k__Bacteria;p__Thermi;c__Deinococci	k__Bacteria;p__Verrucomicrobia;Other	k__Bacteria;p__Verrucomicrobia;c__Opitutae	k__Bacteria;p__Verrucomicrobia;c__Verruco-5	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	k__Bacteria;p__WPS-2;c__	k__Bacteria;p__WYO;c__
Lemur catta	regular solids	Stewart	0.000112426	0	0	8.15E-06	0	1.85E-05	0.004604049	0	0.01235927	0	0	0	0	0	0	0	0	8.15E-06	0	0	0.000122746	0	0	2.55E-05	8.15E-06	0	0.000146099	0.503395156	0	3.37E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004525296	0.001814577	0	0	0	0.000351945	1.74E-05	0.00070823	0.010518645	0.261677112	0.015206303	0.000131979	1.63E-05	0	0	0	1.85E-05	0.002443507	0	0	0	0	0	0	0	8.15E-06	9.23E-06	0	0.000773403	0.007864393	0.010413267	0.003784467	0	0.012475484	0	0	0.062170462	6.14E-05	0	0	5.32E-05	0.025336561	0	0	0.01163312	0.046309409	0.000835869	0	0	0	0
Lemur catta	weaning	Gretel	0.000161777	0	0	1.13E-05	0.00010239	0	0.00206624	0	0.014047957	0	0	0	0	0	0	0	0	0	0	0	0.008798413	0	0	0	0	0	0.000132084	0.553506991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84E-05	0.067395419	1.13E-05	0	0	0	1.13E-05	0.00017304	0.000328673	0.001016738	0.11628998	0.013531917	0	9.22E-06	0	0	0	0	0.001754974	0	0	0	0	0	0	0	0	1.13E-05	0	0.001090458	0.004284022	0.012778338	0.004369004	0.006108614	0.052076813	0	3.17E-05	0.087087139	0.000289765	0	0	0	0.003434173	0	9.22E-06	0.009358489	0.039684509	1.84E-05	0	0	0	0
Lemur catta	weaned	Izze	0.000191793	0	0	0	0	0.000112137	0.003245203	0	0.012632374	0	0	0	0	0	0	0	0	0	0	0	8.85E-06	0	0	0	0	0	0.000136184	0.569344298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.85E-06	0.00599735	0.000190123	0	0	1.73E-05	0.006782725	0	0.000876803	0.006191818	0.213742188	0.009943349	6.03E-05	0	0	0	0	0	0.004188392	0	0	0	0	0	0	0	0	8.85E-06	0	0.002031487	0.001017664	0.008839019	0.004082848	0	0.023737427	0	0	0.05461671	8.48E-05	0	0	2.57E-05	0.040720437	0	0	0.000259676	0.030801286	0.000104121	0	0	0	0
Lemur catta	parturition	Sprite	0.000209416	0	0	0	8.06E-06	0.00631095	0.002157314	0	0.01329068	0	0	0	0	0	0	0	0	0	0	0	0.000128209	0	0	0	0	0	0.000425447	0.436029962	7.99E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60E-05	0.002407406	8.06E-06	0	0	0.000184504	0.001444357	0.000633777	0.000506365	0.00010431	0.240271551	0.005843958	7.99E-06	1.60E-05	0	0	0	0	0.003393992	0	0	0	0	0	0	0	8.06E-06	0.000353461	0	0.000497868	0.000826706	0.006639281	0.006766186	0	0.151605469	0	7.99E-06	0.069908903	0.001156268	0	0	6.43E-05	0.013833159	0	0	0.028305333	0.005986047	0.000634718	0	0	0	0
Propithecus coquereli	birth	Gisela	0.00014002	0	0	0	9.33E-05	0	4.67E-05	0	0.001680241	0	0.002777065	0	0	0.000606754	0.00042006	0	0.002893748	0.000326713	0.000116683	0.000653427	0.266948263	0	0	0.007794451	0	0	2.33E-05	0.005554129	4.67E-05	0.067979744	0	0	0.000186693	0.000256703	0	0.000163357	0.000256703	0	0.000443397	0.001633567	0.000186693	0.00021003	0.000513407	0	0.00021003	0.000536744	0	0	0	0.000256703	7.00E-05	0.00021003	0.001493547	0.006720963	0.000396724	0	0	0	0.000606754	0	0.001540221	9.33E-05	0	0	0	0	0	0	0	0.00098014	0.001913608	0	0.000956804	0.221605097	0.363935497	0.003640522	0	0.030080978	0	0	0.000886794	0	0	0	0	0.000163357	0	0	9.33E-05	0.000186693	0.00014002	0.00028004	0.001003477	4.67E-05	0
Propithecus coquereli	nursing	Remus	0.000176556	0	0.000715484	0	0	0	0	9.87E-05	0.001886598	0.000292972	0.000592125	0	0.000592125	0.000996103	0.001098644	0	0	0.001303724	0	0	0.057697611	0	0	0	0	0	0.001070141	0.078564328	0.001673051	0.001141838	0	0	0	0	0	0	0	0	0	0	0	0	0.000912859	5.40E-05	0.000352339	0.073802802	0	0	0	0	0.000222047	0.000117189	0.171400465	0.111519497	0.000395512	0	0.02142037	0.000310711	0	0	0	0	0	0	0	0.00041016	0	0	0	0	0.000814172	0	0.000492665	0.018821271	0.015372738	0.004699952	0.000619877	0.424116437	0	0	0.000222047	0	0	0	0	0.001697701	0.000345406	0	0.001942101	0	0.00097684	0	0.00106089	0	0
Propithecus coquereli	intro solids	Remus	0.000328392	0	0	0	0	7.14E-06	0.001722305	0	0.012092205	0	0	0	0	0	0	7.14E-06	0	0	0	0	0.000170759	0	0	0	0	0	0.000165279	0.279121403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.82E-05	0.036123066	3.65E-05	0	0	1.51E-05	0.011710989	0	0.00137499	0.020253457	0.425548484	0.010154292	0.000553245	0	0	0	0	0	0.000732797	0	0	0	0	0	0	0	0	0	0	0.001415323	0.024604223	0.037201068	0.015924589	7.14E-06	0.056918059	0	0	0.000246773	0.005928576	0	0	0	0.017668064	0	7.96E-06	0.038306991	0.000693043	0.00092248	0	0	0	0
Propithecus coquereli	regular solids	Gisela	0.00023271	0	0	8.30E-06	0	0	0.011789817	0	0.011050895	0	0	0	0	0	0	0	8.30E-06	0	0	0	3.32E-05	0	0	0	0	0	0.000407186	0.372273697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49E-05	0.019310482	9.14E-05	0	0	0	0	0	0.000689619	0.002974682	0.453418055	0.003855055	0	0	0	0	0	0	0.000506697	0	0	0	0	0	0	0	0	0	0	0.000299132	0.00244276	0.013418722	0.008209686	0	0.021719102	0	0	2.49E-05	0.000498639	0	0	0	0.035145413	0	8.30E-06	8.30E-06	0.03789399	0.003656016	0	0	0	0
Propithecus coquereli	weaned	Remus	0.000293311	0	0	8.06E-06	0	0.000256031	0.007648846	0	0.013660325	0	0	0	0	0	0	0	0	0	0	0	1.61E-05	0	0	0	0	0	0.000765883	0.295607422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.14E-05	0.017731197	5.97E-05	0	0	0	0.007134891	0	0.001084934	0.000550447	0.584053952	0.003273123	0	1.83E-05	0	0	0	0	0.000357904	0	0	0	0	0	0	0	0	0	0	0.000377968	0.003057837	0.01448209	0.0033134	0	0.002058834	0	0	0.000135518	7.47E-05	0	0	0	0.019916726	0	8.06E-06	0.000350167	0.011931238	0.011731614	0	0	0	0
Propithecus coquereli	parturition	Pia	7.22E-05	0	0	0	0	3.77E-05	0.009498517	0	0.01619902	0	0	0	0	0	0	0	0	0	0	0	1.88E-05	0	0	0	0	0	0.000494555	0.280444012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.42E-05	0.05771037	4.08E-05	0	0	0	0.005639963	0	0.000913832	0.001000173	0.513314867	0.001628207	0	0	0	0	0	0	0.000935879	0	0	0	0	0	0	0	0	0	0	0.000976684	0.003730768	0.010451152	0.004203357	0	0.000152319	0	0	1.57E-05	0.000356346	0	0	0	0.041588473	0	0	0.000251246	0.047958683	0.002272115	0	0	0	0
Propithecus coquereli	parturition	Rupilia	0.000297776	0	0	6.54E-06	0	0	0.012334755	0	0.021586157	0	0	0	0	0	0	0	0	0	0	0	6.90E-05	0	0	0	0	0	0.000748042	0.235550153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000155412	0.046661351	1.45E-05	0	0	0	0.001381406	0	0.001498312	0.000573797	0.621907601	0.00242653	0	2.03E-05	0	0	0	0	0.00026873	0	0	0	0	0	0	0	0	0	0	0.000315944	0.003728986	0.015288158	0.005325342	0	0.000283253	0	0	0.000155412	0	0	0	0	0.007877342	0	8.42E-05	0.004959147	5.52E-05	0.016426554	0	0	0	0
